City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1816890,Baoying,CN,33.2292,119.3092,75.81,79,82,10.09
3491161,Bull Savanna,JM,17.8868,-77.5902,77.85,84,13,4.72
2629833,Husavik,IS,66.0449,-17.3389,40.91,96,100,10.31
3466165,Cidreira,BR,-30.1811,-50.2056,59.56,66,3,6.96
3423146,Ilulissat,GL,69.2167,-51.1,23.02,58,6,1.14
2686469,Örnsköldsvik,SE,63.2909,18.7153,34.75,100,59,4.61
496358,Severnyy,RU,50.677,36.5532,35.64,69,0,6.71
1895695,Kushima,JP,31.4583,131.2333,78.84,55,41,10.65
1264976,Leh,IN,34.1667,77.5833,46.81,26,0,2.95
2208248,Kaitangata,NZ,-46.2817,169.8464,57.79,65,87,9.15
1513714,Kosonsoy,UZ,41.2561,71.5508,46.96,57,100,5.77
4392354,Jasper,US,37.2001,-94.3502,64.89,79,20,7.2
1863997,Fukuechō,JP,32.6881,128.8419,80.96,74,20,6.91
6089245,Norman Wells,CA,65.282,-126.8329,28.44,93,75,0.0
934322,Mahébourg,MU,-20.4081,57.7,68.29,88,75,3.44
898947,Senanga,ZM,-16.1167,23.2667,68.36,35,8,4.7
1262062,Naliya,IN,23.2667,68.8333,81.5,75,17,7.4
2146219,Hervey Bay,AU,-25.2986,152.8535,83.03,65,0,12.15
962367,Richards Bay,ZA,-28.783,32.0377,66.97,81,100,18.95
3187694,Virovitica,HR,45.8319,17.3839,50.52,81,100,10.98
2024626,Dzhebariki-Khaya,RU,62.2167,135.8,34.02,73,94,9.48
2012530,Zhigansk,RU,66.7697,123.3711,23.68,80,64,13.76
2017155,Saskylakh,RU,71.9167,114.0833,1.94,96,80,5.28
2171507,Wollongong,AU,-34.4333,150.8833,71.38,59,57,11.68
1814093,Dali,CN,25.7,100.1833,66.67,80,9,1.41
296852,Erzin,TR,36.9559,36.2,50.72,29,0,5.21
53654,Mogadishu,SO,2.0371,45.3438,77.27,78,79,15.1
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,50.72,81,40,6.91
3405051,Borba,BR,-4.3878,-59.5939,79.52,73,93,0.94
1637001,Biak,ID,-0.9131,122.8766,83.64,64,49,4.61
548493,Kirgiz-Miyaki,RU,53.6324,54.7979,34.63,84,0,2.39
1735106,George Town,MY,5.4112,100.3354,81.32,88,20,1.99
1517637,Ushtobe,KZ,45.2514,77.9838,34.93,53,0,12.77
2409914,Bonthe,SL,7.5264,-12.505,78.13,84,47,5.91
1218612,Murgab,TM,37.4966,61.9714,48.07,49,40,6.91
2374583,Bubaque,GW,11.2833,-15.8333,83.82,76,100,3.94
1789271,Xinan,CN,26.72,119.8556,81.86,72,74,6.87
1262469,Munirābād,IN,15.3333,76.3333,75.38,86,94,7.72
5882953,Aklavik,CA,68.2191,-135.0107,32.83,88,100,5.53
2127060,Arman',RU,59.7,150.1667,33.71,47,14,3.47
3416888,Grindavik,IS,63.8424,-22.4338,48.67,93,90,21.85
2094027,Kieta,PG,-6.2167,155.6333,84.74,74,100,5.64
2109528,Buala,SB,-8.145,159.5921,86.0,69,22,8.77
2181625,Te Anau,NZ,-45.4167,167.7167,50.38,88,100,4.32
207596,Mweka,CD,-4.85,21.5667,70.93,72,83,0.94
1529484,Kumul,CN,42.8,93.45,38.01,60,100,15.37
2079582,Alyangula,AU,-13.8483,136.4192,89.47,58,80,11.5
